start_time,request_type,latency,response_code
2021-10-10 00:45:23.999,POST,70,201
2021-10-10 00:45:24.069,POST,70,201
2021-10-10 00:45:24.139,POST,72,201
2021-10-10 00:45:24.212,POST,69,201
2021-10-10 00:45:24.282,POST,70,201
2021-10-10 00:45:24.353,POST,70,201
2021-10-10 00:45:24.423,POST,71,201
2021-10-10 00:45:24.494,POST,73,201
2021-10-10 00:45:24.567,POST,71,201
2021-10-10 00:45:24.638,POST,71,201
2021-10-10 00:45:24.71,POST,70,201
2021-10-10 00:45:24.78,POST,71,201
2021-10-10 00:45:24.851,POST,71,201
2021-10-10 00:45:24.922,POST,71,201
2021-10-10 00:45:24.993,POST,71,201
2021-10-10 00:45:25.064,POST,71,201
2021-10-10 00:45:25.135,POST,72,201
2021-10-10 00:45:25.207,POST,70,201
2021-10-10 00:45:16.189,POST,173,201
2021-10-10 00:45:16.392,POST,74,201
2021-10-10 00:45:16.466,POST,75,201
2021-10-10 00:45:16.541,POST,72,201
2021-10-10 00:45:16.613,POST,71,201
2021-10-10 00:45:16.684,POST,72,201
2021-10-10 00:45:16.756,POST,72,201
2021-10-10 00:45:16.828,POST,73,201
2021-10-10 00:45:16.902,POST,73,201
2021-10-10 00:45:16.975,POST,71,201
2021-10-10 00:45:17.046,POST,75,201
2021-10-10 00:45:17.121,POST,73,201
2021-10-10 00:45:17.194,POST,71,201
2021-10-10 00:45:17.265,POST,73,201
2021-10-10 00:45:17.338,POST,74,201
2021-10-10 00:45:17.412,POST,70,201
2021-10-10 00:45:17.482,POST,71,201
2021-10-10 00:45:17.553,POST,70,201
2021-10-10 00:45:17.623,POST,71,201
2021-10-10 00:45:17.694,POST,70,201
2021-10-10 00:45:17.764,POST,72,201
2021-10-10 00:45:17.836,POST,70,201
2021-10-10 00:45:17.906,POST,72,201
2021-10-10 00:45:17.978,POST,71,201
2021-10-10 00:45:18.049,POST,70,201
2021-10-10 00:45:18.119,POST,70,201
2021-10-10 00:45:18.19,POST,70,201
2021-10-10 00:45:18.26,POST,71,201
2021-10-10 00:45:18.331,POST,70,201
2021-10-10 00:45:18.401,POST,71,201
2021-10-10 00:45:18.472,POST,70,201
2021-10-10 00:45:18.542,POST,73,201
2021-10-10 00:45:18.615,POST,71,201
2021-10-10 00:45:18.686,POST,70,201
